user_id,purchase_date,product_name,category,price,quantity
U001,2025-12-01,オーガニック野菜セット,食品,3500,1
U001,2025-12-15,無添加味噌,食品,980,2
U001,2026-01-05,玄米5kg,食品,2800,1
U001,2026-01-20,天然酵母パン,食品,650,3
U002,2025-11-10,プロテインパウダー,健康食品,4500,1
U002,2025-12-03,ランニングシューズ,スポーツ,12800,1
U002,2025-12-25,スマートウォッチ,電子機器,35000,1
U002,2026-01-15,スポーツウェア上下,スポーツ,8900,1
U003,2025-10-20,絵本セット,書籍,4200,1
U003,2025-11-15,知育玩具,おもちゃ,3800,1
U003,2025-12-10,子供用自転車,スポーツ,18000,1
U003,2026-01-08,学習ドリル,書籍,1200,3
U004,2025-11-01,コーヒーメーカー,家電,15000,1
U004,2025-12-05,スペシャルティコーヒー豆,食品,2400,2
U004,2026-01-10,ワイングラスセット,キッチン,6500,1
U004,2026-01-25,チーズ詰め合わせ,食品,4800,1
U005,2025-10-15,ガーデニングツールセット,園芸,5600,1
U005,2025-11-20,観葉植物,園芸,3200,2
U005,2025-12-18,有機肥料,園芸,1800,3
U005,2026-01-12,プランター大型,園芸,4500,1
